
=== all exercises ===

,count,avg_score,passed,compile_error,runtime_error,wrong_output,time_limit,mem_limit,other_error
(all),559,0.70,66.8%,8.2%,7.3%,14.1%,2.1%,1.1%,0.3%

=== by language ===

language,count,avg_score,passed,compile_error,runtime_error,wrong_output,time_limit,mem_limit,other_error
cs,236,0.77,72.7%,3.6%,4.2%,15.7%,2.0%,1.6%,0.2%
en,323,0.64,62.9%,11.3%,9.4%,13.0%,2.2%,0.8%,0.4%

=== by runtime ===

runtime,count,avg_score,passed,compile_error,runtime_error,wrong_output,time_limit,mem_limit,other_error
arduino-gcc,5,0.20,11.1%,88.9%,0.0%,0.0%,0.0%,0.0%,0.0%
c-gcc-linux,7,0.89,88.9%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%
cs-dotnet-core,105,0.71,64.1%,4.4%,7.8%,19.7%,2.9%,0.9%,0.3%
cxx-gcc-linux,60,0.38,36.4%,38.3%,0.0%,15.3%,5.8%,2.8%,1.4%
haskell,27,0.47,39.3%,51.1%,0.0%,9.6%,0.0%,0.0%,0.0%
java,14,0.70,68.1%,4.3%,7.2%,20.3%,0.0%,0.0%,0.0%
node-linux,11,0.42,27.3%,0.0%,29.1%,23.6%,18.2%,0.0%,1.8%
php-linux,14,0.46,51.8%,0.0%,8.9%,38.4%,0.0%,0.9%,0.0%
prolog,36,0.55,54.2%,4.0%,18.1%,20.7%,1.0%,2.0%,0.0%
python3,280,0.83,82.3%,0.0%,7.2%,8.1%,1.2%,1.0%,0.2%

=== by attachments ===

attachments,count,avg_score,passed,compile_error,runtime_error,wrong_output,time_limit,mem_limit,other_error
all,80,0.58,56.8%,15.6%,7.8%,16.7%,0.7%,1.8%,0.5%
none,429,0.77,75.9%,4.7%,5.5%,11.1%,2.0%,0.7%,0.1%
partial,50,0.29,29.3%,19.3%,16.6%,26.8%,4.3%,2.6%,0.9%

=== by course ===

course,year,prog_lang,count,avg_score,passed,compile_error,runtime_error,wrong_output,time_limit,mem_limit,other_error
Introduction to Algorithms,1.0,python,38,0.83,84.2%,0.0%,2.2%,9.4%,1.4%,2.9%,0.0%
Programming 1,1.0,python,214,0.88,87.1%,0.0%,4.0%,7.5%,1.0%,0.3%,0.0%
Programming 1 (advanced),1.0,c++,8,0.48,52.5%,10.2%,0.0%,15.3%,11.9%,10.2%,0.0%
Programming 1 (advanced),1.0,python,10,0.74,69.7%,0.0%,10.6%,19.7%,0.0%,0.0%,0.0%
Computer Systems,1.5,arduino,5,0.20,11.1%,88.9%,0.0%,0.0%,0.0%,0.0%,0.0%
Computer Systems,1.5,c++,1,0.83,83.3%,0.0%,0.0%,16.7%,0.0%,0.0%,0.0%
Programming 2,1.5,c#,78,0.82,85.1%,1.1%,1.7%,8.5%,3.5%,0.2%,0.0%
Programming 2 (advanced),1.5,c#,2,0.30,37.5%,0.0%,50.0%,0.0%,0.0%,12.5%,0.0%
Programming 2 (advanced),1.5,c++,9,0.13,30.8%,13.5%,0.0%,25.0%,21.2%,7.7%,1.9%
C# Language and .NET Framework,2.0,c#,24,0.42,38.0%,8.0%,14.3%,35.4%,2.2%,1.5%,0.7%
Java,2.0,java,14,0.70,68.1%,4.3%,7.2%,20.3%,0.0%,0.0%,0.0%
Programming 3,2.0,c,7,0.89,88.9%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%
Programming in C++,2.0,c++,32,0.49,38.4%,44.9%,0.0%,16.2%,0.0%,0.0%,0.5%
Web Applications,2.0,node.js,11,0.42,27.3%,0.0%,29.1%,23.6%,18.2%,0.0%,1.8%
Web Applications,2.0,php,14,0.46,51.8%,0.0%,8.9%,38.4%,0.0%,0.9%,0.0%
Advanced C++ Programming,2.5,c++,6,0.10,10.8%,81.1%,0.0%,5.4%,0.0%,0.0%,2.7%
Introduction to Artificial Intelligence,2.5,python,3,0.10,11.8%,0.0%,70.6%,0.0%,0.0%,17.6%,0.0%
Non-Procedural Programming,2.5,haskell,27,0.47,39.3%,51.1%,0.0%,9.6%,0.0%,0.0%,0.0%
Non-Procedural Programming,2.5,prolog,36,0.55,54.2%,4.0%,18.1%,20.7%,1.0%,2.0%,0.0%
Programming in Python,2.5,python,3,0.18,18.8%,0.0%,25.0%,31.2%,25.0%,0.0%,0.0%
Introduction to Language Technologies,3.0,python,1,1.00,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Parallel Programming,3.5,c#,1,0.00,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Parallel Programming,3.5,c++,2,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Data Structures I,4.0,c++,2,0.28,21.1%,63.2%,0.0%,0.0%,15.8%,0.0%,0.0%
Data Structures I,4.0,python,6,0.10,7.7%,0.0%,87.2%,0.0%,0.0%,5.1%,0.0%
Large scale optimization,4.0,python,5,0.20,13.3%,0.0%,66.7%,0.0%,0.0%,0.0%,20.0%
